INFO 2024-12-27 16:55:43,941 Scheduler started successfully
2024-12-27 16:55:43,941 - INFO - Scheduler started successfully
INFO 2024-12-27 16:55:45,644 Scheduler started successfully
2024-12-27 16:55:45,644 - INFO - Scheduler started successfully
INFO 2024-12-27 16:55:45,669 Watching for file changes with StatReloader
INFO 2024-12-27 16:57:04,484 Scheduler started successfully
2024-12-27 16:57:04,484 - INFO - Scheduler started successfully
INFO 2024-12-27 16:57:06,158 Scheduler started successfully
2024-12-27 16:57:06,158 - INFO - Scheduler started successfully
INFO 2024-12-27 16:57:06,183 Watching for file changes with StatReloader
INFO 2024-12-27 16:59:04,491 当前时间: 2024-12-27 16:59:04.491093+08:00 - 开始更新会议状态
2024-12-27 16:59:04,491 - INFO - 当前时间: 2024-12-27 16:59:04.491093+08:00 - 开始更新会议状态
INFO 2024-12-27 16:59:04,501 更新了 0 个已过期会议的状态为 '已结束'
2024-12-27 16:59:04,501 - INFO - 更新了 0 个已过期会议的状态为 '已结束'
INFO 2024-12-27 16:59:04,502 今天没有需要更新的会议状态
2024-12-27 16:59:04,502 - INFO - 今天没有需要更新的会议状态
INFO 2024-12-27 17:02:09,571 当前时间: 2024-12-27 17:02:09.570813+08:00 - 开始更新会议状态
2024-12-27 17:02:09,571 - INFO - 当前时间: 2024-12-27 17:02:09.570813+08:00 - 开始更新会议状态
INFO 2024-12-27 17:02:09,582 更新了 0 个已过期会议的状态为 '已结束'
2024-12-27 17:02:09,582 - INFO - 更新了 0 个已过期会议的状态为 '已结束'
INFO 2024-12-27 17:02:09,583 今天没有需要更新的会议状态
2024-12-27 17:02:09,583 - INFO - 今天没有需要更新的会议状态
INFO 2024-12-27 17:02:13,437 当前时间: 2024-12-27 17:02:13.437187+08:00 - 开始更新会议状态
2024-12-27 17:02:13,437 - INFO - 当前时间: 2024-12-27 17:02:13.437187+08:00 - 开始更新会议状态
INFO 2024-12-27 17:02:13,449 更新了 0 个已过期会议的状态为 '已结束'
2024-12-27 17:02:13,449 - INFO - 更新了 0 个已过期会议的状态为 '已结束'
