year,price
2019年北京房价,58568元/㎡
2019年深圳房价,54790元/㎡
2019年上海房价,50945元/㎡
2019年厦门房价,46003元/㎡
2019年广州房价,31692元/㎡
2019年南京房价,28526元/㎡
2019年三亚房价,28478元/㎡
2019年杭州房价,27002元/㎡
2019年福州房价,24281元/㎡
2019年宁波房价,22814元/㎡
2019年珠海房价,21134元/㎡
2019年温州房价,20970元/㎡
2019年天津房价,20952元/㎡
2019年义乌房价,20554元/㎡
2019年苏州房价,19568元/㎡
2019年瑞安房价,17275元/㎡
2019年舟山房价,17064元/㎡
2019年武汉房价,16818元/㎡
2019年青岛房价,16340元/㎡
2019年东莞房价,16105元/㎡
2019年绍兴房价,16063元/㎡
2019年济南房价,16048元/㎡
2019年金华房价,16037元/㎡
2019年昆山房价,15906元/㎡
2019年石家庄房价,15203元/㎡
2019年海口房价,15002元/㎡
2019年台州房价,14855元/㎡
2019年衢州房价,14396元/㎡
2019年合肥房价,14226元/㎡
2019年常州房价,14122元/㎡
2019年廊坊房价,13863元/㎡
2019年大连房价,13796元/㎡
2019年南通房价,13720元/㎡
2019年正定房价,13676元/㎡
2019年郑州房价,13266元/㎡
2019年成都房价,13132元/㎡
2019年昆明房价,13117元/㎡
2019年扬州房价,13081元/㎡
2019年大理房价,13022元/㎡
2019年漳州房价,12935元/㎡
2019年无锡房价,12800元/㎡
2019年佛山房价,12652元/㎡
2019年西安房价,12446元/㎡
2019年兰州房价,12432元/㎡
2019年南昌房价,12185元/㎡
2019年莆田房价,12147元/㎡
2019年拉萨房价,11931元/㎡
2019年乐清房价,11923元/㎡
2019年嘉兴房价,11905元/㎡
2019年龙岩房价,11783元/㎡
2019年太原房价,11752元/㎡
2019年秦皇岛房价,11475元/㎡
2019年呼和浩特房价,11375元/㎡
2019年泉州房价,11343元/㎡
2019年中山房价,11202元/㎡
2019年重庆房价,11187元/㎡
2019年泰安房价,11120元/㎡
2019年南宁房价,10979元/㎡
2019年泰州房价,10920元/㎡
2019年保定房价,10756元/㎡
2019年宁德房价,10726元/㎡
2019年武夷山房价,10708元/㎡
2019年海东房价,10622元/㎡
2019年承德房价,10565元/㎡
2019年徐州房价,10538元/㎡
2019年沧州房价,10518元/㎡
